gene,ORF,ANCvsEVO,lines,source_96plate,source_96well,ambigous,ploidy_curated,comment,ancestors,genseq_VS_bela_ambi,missing,missingWT,ploidy_semifinal,Bela_ploidy,ploidy_of_ancestors,ploidy_of_genseq_VS_bela_ambi,ploidy_of_missing,ploidy_of_missingWT,ploidy_of_ploidy_semifinal,ploidy_of_Bela_ploidy,WGS
BIM1,YER016W,evolved.2,BIM1.YER016W.evolved.2,6C,B12,NA,hap,NA,NA,NA,NA,NA,hapa,hap,NA,NA,NA,NA,1,1,1
GET2,YER083C,ancestor,GET2.YER083C.ancestor,NA,NA,NA,hap,NA,hap,NA,NA,NA,hap,hap,1,NA,NA,NA,1,1,1
GET2,YER083C,evolved.1,GET2.YER083C.evolved.1,1A,G2,NA,dip,NA,NA,NA,NA,NA,dip,dip,NA,NA,NA,NA,2,2,1
GET2,YER083C,evolved.2,GET2.YER083C.evolved.2,1C,C2,NA,dip,NA,NA,NA,NA,NA,dip,dip,NA,NA,NA,NA,2,2,1
RPB9,YGL070C,ancestor,RPB9.YGL070C.ancestor,NA,NA,NA,hap,NA,hap,NA,NA,NA,NA,hap,1,NA,NA,NA,NA,1,1
RPB9,YGL070C,evolved.1,RPB9.YGL070C.evolved.1,5B,E2,NA,dip,NA,NA,NA,NA,NA,dip,dip,NA,NA,NA,NA,2,2,1
RPB9,YGL070C,evolved.2,RPB9.YGL070C.evolved.2,5C,H11,NA,hap,NA,NA,NA,NA,NA,hap,hap,NA,NA,NA,NA,1,1,1
MDM34,YGL219C,ancestor,MDM34.YGL219C.ancestor,NA,NA,NA,hap,NA,hap,NA,NA,NA,NA,hap,1,NA,NA,NA,NA,1,1
MDM34,YGL219C,evolved.1,MDM34.YGL219C.evolved.1,5A,H4,NA,hap,NA,NA,NA,NA,NA,hap,hap,NA,NA,NA,NA,1,1,1
MDM34,YGL219C,evolved.2,MDM34.YGL219C.evolved.2,5B,F3,NA,hap,NA,NA,NA,NA,NA,hap,hap,NA,NA,NA,NA,1,1,1
SRB5,YGR104C,ancestor,SRB5.YGR104C.ancestor,NA,NA,1,hap/dip,NA,hap,hapa,NA,NA,NA,dip,1,1,NA,NA,NA,2,1
SRB5,YGR104C,evolved.1,SRB5.YGR104C.evolved.1,2B,A2,NA,dip,NA,NA,dipa,NA,NA,dipa,dip,NA,2,NA,NA,2,2,1
SRB5,YGR104C,evolved.2,SRB5.YGR104C.evolved.2,2A,B12,1,hap/dip,NA,NA,hapa/dip,NA,NA,NA,hap,NA,1.5,NA,NA,NA,1,1
SRB5,YGR104C,evolved.2,SRB5.YGR104C.evolved.2,2A,B12,1,hap/dip,NA,NA,NA,NA,NA,dip,hap,NA,NA,NA,NA,2,1,1
ATP12,YJL180C,ancestor,ATP12.YJL180C.ancestor,NA,NA,NA,hap,NA,hap,hap,NA,NA,NA,hap,1,1,NA,NA,NA,1,1
ATP12,YJL180C,evolved.1,ATP12.YJL180C.evolved.1,2A,C11,1,hap/dip,NA,NA,hap/dip,NA,NA,NA,dipa,NA,1.5,NA,NA,NA,2,1
ATP12,YJL180C,evolved.1,ATP12.YJL180C.evolved.1,2A,C11,1,hap/dip,NA,NA,NA,hap,NA,NA,dipa,NA,NA,1,NA,NA,2,1
ATP12,YJL180C,evolved.2,ATP12.YJL180C.evolved.2,2B,G11,1,hap/dip,NA,NA,hap/dip,NA,NA,NA,dipa,NA,1.5,NA,NA,NA,2,1
ATP12,YJL180C,evolved.2,ATP12.YJL180C.evolved.2,2B,G11,1,hap/dip,NA,NA,NA,hap,NA,NA,dipa,NA,NA,1,NA,NA,2,1
BUD20,YLR074C,ancestor,BUD20.YLR074C.ancestor,NA,NA,NA,hap,NA,hap,NA,NA,NA,NA,hap,1,NA,NA,NA,NA,1,1
BUD20,YLR074C,evolved.1,BUD20.YLR074C.evolved.1,1A,A8,NA,hap,NA,NA,NA,hap,NA,NA,hap,NA,NA,1,NA,NA,1,1
BUD20,YLR074C,evolved.2,BUD20.YLR074C.evolved.2,1A,G10,NA,hap,NA,NA,NA,hap,NA,NA,hap,NA,NA,1,NA,NA,1,1
RSC2,YLR357W,ancestor,RSC2.YLR357W.ancestor,NA,NA,1,hap/dip,NA,hap,hap,NA,NA,NA,dipa,1,1,NA,NA,NA,2,1
RSC2,YLR357W,evolved.1,RSC2.YLR357W.evolved.1,2A,D6,NA,dip,NA,NA,dip,NA,NA,dip,dip,NA,2,NA,NA,2,2,1
RSC2,YLR357W,evolved.2,RSC2.YLR357W.evolved.2,2C,F2,1,hap/dip,NA,NA,dip,NA,NA,dipa,hap,NA,2,NA,NA,2,1,1
RPL6B,YLR448W,ancestor,RPL6B.YLR448W.ancestor,NA,NA,NA,hap,NA,hap,NA,NA,NA,NA,hap,1,NA,NA,NA,NA,1,1
RPL6B,YLR448W,evolved.1,RPL6B.YLR448W.evolved.1,4B,B4,NA,dip,NA,NA,NA,NA,NA,dipa,dipa,NA,NA,NA,NA,2,2,1
RPL6B,YLR448W,evolved.2,RPL6B.YLR448W.evolved.2,4B,H2,NA,dip,NA,NA,NA,NA,NA,dipa,dip,NA,NA,NA,NA,2,2,1
POP2,YNR052C,ancestor,POP2.YNR052C.ancestor,NA,NA,NA,hap,NA,hap,NA,NA,NA,hapa,hap,1,NA,NA,NA,1,1,1
POP2,YNR052C,evolved.1,POP2.YNR052C.evolved.1,6A,E10,NA,hap,NA,NA,NA,hap,NA,NA,hapa ,NA,NA,1,NA,NA,NA,1
POP2,YNR052C,evolved.2,POP2.YNR052C.evolved.2,6C,A8,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
IFM1,YOL023W,ancestor,IFM1.YOL023W.ancestor,NA,NA,1,hap/dip,NA,hap,hap,NA,NA,NA,dip,1,1,NA,NA,NA,2,1
IFM1,YOL023W,evolved.1,IFM1.YOL023W.evolved.1,1A,C10,NA,dip,NA,NA,dip,NA,NA,dip,dip,NA,2,NA,NA,2,2,1
IFM1,YOL023W,evolved.2,IFM1.YOL023W.evolved.2,1B,B1,NA,dip,NA,NA,dip,NA,NA,dip,dip,NA,2,NA,NA,2,2,1
BUB3,YOR026W,ancestor,BUB3.YOR026W.ancestor,NA,NA,NA,hap,NA,hap,NA,NA,NA,NA,hap,1,NA,NA,NA,NA,1,1
BUB3,YOR026W,evolved.1,BUB3.YOR026W.evolved.1,6A,E11,NA,hap,NA,NA,NA,NA,NA,hap,hap,NA,NA,NA,NA,1,1,1
BUB3,YOR026W,evolved.2,BUB3.YOR026W.evolved.2,6B,C11,NA,hap,NA,NA,NA,NA,NA,hap,hap,NA,NA,NA,NA,1,1,1
RPL43A,YPR043W,ancestor,RPL43A.YPR043W.ancestor,NA,NA,NA,hap,NA,hap,NA,NA,NA,hapa,NA,1,NA,NA,NA,1,NA,NA
RPL43A,YPR043W,evolved.1,RPL43A.YPR043W.evolved.1,5B,G12,NA,dip,NA,NA,NA,NA,NA,dipa,NA,NA,NA,NA,NA,2,NA,NA
RPL43A,YPR043W,evolved.2,RPL43A.YPR043W.evolved.2,5B,G12,NA,dip,NA,NA,NA,NA,NA,dipa,NA,NA,NA,NA,NA,2,NA,NA
HIS3,YOR202W,evolved.6,HIS3.YOR202W.evolved.6,1A,D2,NA,hap,NA,hap,NA,NA,NA,hap,NA,1,NA,NA,NA,1,NA,NA
HIS3,YOR202W,evolved.8,HIS3.YOR202W.evolved.8,1A,D3,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
HIS3,YOR202W,evolved.3,HIS3.YOR202W.evolved.3,1A,D4,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
HIS3,YOR202W,evolved.4,HIS3.YOR202W.evolved.4,1A,D5,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
HIS3,YOR202W,evolved.5,HIS3.YOR202W.evolved.5,2A,D2,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
HIS3,YOR202W,evolved.7,HIS3.YOR202W.evolved.7,2A,D4,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
HIS3,YOR202W,evolved.9,HIS3.YOR202W.evolved.9,3A,D2,NA,hap,NA,hap,NA,NA,NA,hap,NA,1,NA,NA,NA,1,NA,NA
HIS3,YOR202W,evolved.10,HIS3.YOR202W.evolved.10,3A,D3,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
HIS3,YOR202W,evolved.11,HIS3.YOR202W.evolved.11,3A,D4,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
HIS3,YOR202W,evolved.12,HIS3.YOR202W.evolved.12,3A,D5,NA,hap,NA,NA,NA,NA,hap,hap,NA,NA,NA,NA,1,1,NA,NA
HIS3,YOR202W,evolved.13,HIS3.YOR202W.evolved.13,4A,D2,NA,hap,NA,NA,NA,NA,hap,hap,NA,NA,NA,NA,1,1,NA,NA
HIS3,YOR202W,evolved.14,HIS3.YOR202W.evolved.14,4A,D3,NA,hap,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA
HIS3,YOR202W,evolved.15,HIS3.YOR202W.evolved.15,4A,D4,NA,hap,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA
HIS3,YOR202W,evolved.16,HIS3.YOR202W.evolved.16,4A,D5,NA,hap,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA
HIS3,YOR202W,evolved.17,HIS3.YOR202W.evolved.17,5A,D3,NA,hap,NA,hap,NA,NA,hap,NA,NA,1,NA,NA,1,NA,NA,NA
HIS3,YOR202W,evolved.18,HIS3.YOR202W.evolved.18,5A,D4,NA,hap,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA
HIS3,YOR202W,evolved.19,HIS3.YOR202W.evolved.19,6A,D2,NA,hap,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA
HIS3,YOR202W,evolved.20,HIS3.YOR202W.evolved.20,6A,D3,NA,hap,NA,hap,NA,NA,hap,NA,NA,1,NA,NA,1,NA,NA,NA
HIS3,YOR202W,evolved.21,HIS3.YOR202W.evolved.21,6A,D4,NA,hap,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA
HIS3,YOR202W,evolved.22,HIS3.YOR202W.evolved.22,6A,D5,NA,hap,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA
