gene,ORF,ANCvsEVO,lines,source_96plate,source_96well,ambigous,ploidy_curated,comment,ancestors,genseq_VS_bela_ambi,missing,missingWT,ploidy_semifinal,Bela_ploidy,ploidy_of_ancestors,ploidy_of_genseq_VS_bela_ambi,ploidy_of_missing,ploidy_of_missingWT,ploidy_of_ploidy_semifinal,ploidy_of_Bela_ploidy,WGS
FYV12,YOR183W,evolved.2,FYV12.YOR183W.evolved.2,2C,E5,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
FYV4,YHR059W,ancestor,FYV4.YHR059W.ancestor,4B,G5,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
FYV4,YHR059W,evolved.1,FYV4.YHR059W.evolved.1,4B,G5,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
FYV4,YHR059W,evolved.2,FYV4.YHR059W.evolved.2,4B,A7,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
FZO1,YBR179C,ancestor,FZO1.YBR179C.ancestor,1B,B12,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
FZO1,YBR179C,evolved.1,FZO1.YBR179C.evolved.1,1B,B12,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
GCN5,YGR252W,ancestor,GCN5.YGR252W.ancestor,6A,C11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
GCN5,YGR252W,evolved.1,GCN5.YGR252W.evolved.1,6A,C11,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
GCN5,YGR252W,evolved.2,GCN5.YGR252W.evolved.2,6B,B2,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
GGC1,YDL198C,ancestor,GGC1.YDL198C.ancestor,4B,H11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
GGC1,YDL198C,evolved.1,GGC1.YDL198C.evolved.1,4B,H11,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
GGC1,YDL198C,evolved.2,GGC1.YDL198C.evolved.2,4C,F10,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
GRR1,YJR090C,ancestor,GRR1.YJR090C.ancestor,6A,A6,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
GRR1,YJR090C,evolved.1,GRR1.YJR090C.evolved.1,6A,A6,NA,dip,NA,NA,NA,NA,NA,dipa,NA,NA,NA,NA,NA,2,NA,NA
HEM14,YER014W,ancestor,HEM14.YER014W.ancestor,6A,F12,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
HEM14,YER014W,evolved.1,HEM14.YER014W.evolved.1,6A,F12,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
HTD2,YHR067W,ancestor,HTD2.YHR067W.ancestor,4A,C6,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
HTD2,YHR067W,evolved.1,HTD2.YHR067W.evolved.1,4A,C6,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
HTD2,YHR067W,evolved.2,HTD2.YHR067W.evolved.2,4C,E6,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
IES2,YNL215W,ancestor,IES2.YNL215W.ancestor,3B,H3,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
IES2,YNL215W,evolved.1,IES2.YNL215W.evolved.1,3B,H3,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
IES2,YNL215W,evolved.2,IES2.YNL215W.evolved.2,3B,B5,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
ILM1,YJR118C,ancestor,ILM1.YJR118C.ancestor,4B,H6,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
ILM1,YJR118C,evolved.1,ILM1.YJR118C.evolved.1,4B,H6,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
ILM1,YJR118C,evolved.2,ILM1.YJR118C.evolved.2,4C,F5,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
IMG2,YCR071C,ancestor,IMG2.YCR071C.ancestor,4C,A10,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
IMG2,YCR071C,evolved.1,IMG2.YCR071C.evolved.1,4C,A10,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
IWR1,YDL115C,ancestor,IWR1.YDL115C.ancestor,5B,G10,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
IWR1,YDL115C,evolved.1,IWR1.YDL115C.evolved.1,5B,G10,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
IWR1,YDL115C,evolved.2,IWR1.YDL115C.evolved.2,5B,B1,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
KCS1,YDR017C,ancestor,KCS1.YDR017C.ancestor,4C,F11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
KCS1,YDR017C,evolved.1,KCS1.YDR017C.evolved.1,4C,F11,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
KCS1,YDR017C,evolved.2,KCS1.YDR017C.evolved.2,4B,C3,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
LIP2,YLR239C,ancestor,LIP2.YLR239C.ancestor,2B,H11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
LIP2,YLR239C,evolved.1,LIP2.YLR239C.evolved.1,2B,H11,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
LIP2,YLR239C,evolved.2,LIP2.YLR239C.evolved.2,2C,F10,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
LOC1,YFR001W,ancestor,LOC1.YFR001W.ancestor,3A,E11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
LOC1,YFR001W,evolved.1,LOC1.YFR001W.evolved.1,3A,E11,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
LOC1,YFR001W,evolved.2,LOC1.YFR001W.evolved.2,3C,A9,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
